patch,yolov3,yolov5n,yolov5s,yolov5m,yolov5l,yolov5x
patch/yolov3.png,0.5586,0.4536,0.6414,0.7162,0.7224,0.7342
patch/yolov5n.png,0.6956,0.4458,0.6237,0.5601,0.7196,0.7414
patch/yolov5s.png,0.6315,0.6352,0.3968,0.7146,0.6206,0.7327
patch/yolov5m.png,0.6208,0.6632,0.7179,0.4972,0.7294,0.7447
patch/yolov5l.png,0.6715,0.7449,0.7913,0.7826,0.6513,0.7391
patch/yolov5x.png,0.6464,0.7742,0.8121,0.7939,0.7668,0.7195
patch/pso.png,0.8270,0.7607,0.6207,0.7780,0.8156,0.8555
patch/noise.png,0.8368,0.7743,0.7915,0.8364,0.8306,0.8820
patch/clean.png,0.8809,0.8830,0.8921,0.9103,0.9210,0.9340

